потому	deshalb, daher, weil	Зимой медведи обычно спят, {потому} что погода слишком холодная и нет еды.		Adverb	98	Russian	59315	Adverb
Deathmatch	*	{Deathmatch} и Stunt.			98	Russian	59607	
ВДНХ	Ausstellung der Errungenschaften der Volkswirtschaft (Moskau)	Одну в районе {ВДНХ}, одну в районе Лубянки и одну в районе Чистых прудов.	Выставка достижений народного хозяйства	Sehenswürdigkeit	98	Russian	59608	Sehenswürdigkeit
Yourself	*				98	Russian	59609	
Ксюша	Name	{Ксюша}, посмотри на это серо-голубое платье.			98	Russian	59610	
Обь	Ob	Например, Волгу, {Обь}, Иртыш, Енисей, Амур и многие другие.			98	Russian	59611	
wratsch	*	врач (m) [{wratsch}]			98	Russian	59612	
целое	Ganze?	Зачастую русские люди не ассоциируют себя и свое правительство как единое {целое}.			98	Russian	59613	
Lua	*	Однако в последующих версиях тег Deathmatch был убран, так как игра позволяла передвигаться пешком и ездить на транспорте, к тому же для реализации режимов было добавлено скриптинговое API с использованием языка {Lua}.			98	Russian	59614	
Наполеоном	Napoleon	Одной из них стала победа над {Наполеоном} Бонапартом в 1812 году.			98	Russian	59615	
этом	?	Раньше на {этом} месте было болото, поэтому построить город было очень трудно.			98	Russian	59616	
ihr	*	Ich denke, {ihr} habt zusammen Abendbrot gegessen.			98	Russian	59617	
sage	*				98	Russian	59618	
das	*	Stimmt {das}?			98	Russian	59619	
Раскольников	Raskolnikov	— {Раскольников}, студент, был у вас назад тому месяц, — поспешил пробормотать молодой человек с полупоклоном, вспомнив, что надо быть любезнее.			98	Russian	60278	
Abendbrot	*	Ich denke, ihr habt zusammen {Abendbrot} gegessen.			98	Russian	59620	
I	*	Он был основан императором Петром {I} (первым).			98	Russian	59621	
IV	4.	Ярким правителем был Иван {IV} Грозный.			98	Russian	59622	
Петром	*	Он был основан императором {Петром} I (первым).			98	Russian	59623	
Опричники	Opritschnike	{Опричники} официально считались защитниками государства и царской власти.			98	Russian	59624	
дорогой	*	Он посвящен труду строителей и завершению работ над Кругобайкальской железной {дорогой}.Другим интересным местом является вокзал на станции Новосибирск-Главный.			98	Russian	59625	
Ah	*				98	Russian	59626	
SA	*	Редактор поставляется вместе с клиентской версией MTA:{SA}.			98	Russian	59627	
krúpnaje	*	крупное предприятие [{krúpnaje} pridprijátije]			98	Russian	59628	
Кря	gack-gack (tierlaut kindersprache)	{Кря}, {кря}‥ Прекратите это безобразие.			98	Russian	59629	
Санкт-Петербурга	Sankt-Peterburg	Также его заслугой является строительство великолепного {Санкт-Петербурга}, расположенного на реке Нева, а также многих других городов.			98	Russian	59630	
ganz	*				98	Russian	59631	
Горохе	*				98	Russian	55311	
S	*				98	Russian	59632	
собой	sich	Не забудь взять с {собой} зонт!			98	Russian	58199	
IRC	*	Было исправлено множество багов сетевого кода, появился поиск сервера через {IRC} и чат для общения.			98	Russian	59633	
б	*	«Если о сю пору я так боюсь, что же было бы, если {б} и действительно как-нибудь случилось до самого дела дойти?‥» — подумал он невольно, проходя в четвертый этаж.			98	Russian	60169	
gekocht	*				98	Russian	59634	
Stunt	*	Deathmatch и {Stunt}.			98	Russian	59635	
etwas	*				98	Russian	59636	
Genitiv	*				98	Russian	59637	
свиданья	*	До {свиданья}!			98	Russian	59638	
Was	*				98	Russian	59639	
